"Business Name","VBSC","City","State","Business Website","Business Model","CSA","Food-Hub","Cooperative","Online (Delivery or Pickup)","Legal Structure","National","Regional","State","County","Produce","Dairy","Meat","Eggs","Seafood","Value-Added/ Dry goods","Preserves/ Honey","Health/Nutrition","Fresh","Local","Sustainable/Environment","Fair","Community","Humane (Animal)","AHSF","Education (Consumers)","Education (Farmers)","Commerce/Economics (Local Economy)","Affordability","Transparency","Organic","Accessability"
"Neesvig's, Inc",1,"Windsor","WI","http://neesvigs.co/",".",0,1,0,0,".",0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"Parrfection Produce",1,"Albany","WI","http://parrfectionproduce.com/",".",0,1,0,0,".",0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Wisconsin Home Harvest",1,"Reedsburg","WI","http://www.neuerthwormfarm.com/",".",1,0,0,0,".",0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Monroe Farm Market Cooperative",1,"Union","WV","https://www.localfoodmarketplace.com/monroe/",".",0,0,1,1,".",0,0,1,0,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0
"Fish Hawk Acres",1,"Rock Cave","WV","http://www.wvfarm2u.org/On-the-Farm/Fish-Hawk-Acres.aspx",".",0,1,0,0,".",0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0
"High Plains Food Coop",1,"Denver","CO","http://www.highplainsfood.org","retail exchange; aggregator; delivery",0,0,1,1,"producer-consumer cooperative",,,,1,1,,0,1,0,1,,,1,1,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Great Basin Community Food Cooperative/Distributors of Regional and Organic Produce and Products",1,"Reno","NV","http://www.greatbasinfood.coop/",".",,,,,".",,,,,,,,,,,,,,,,,,,,,,,,,,
"Local Roots Market & Café (Wooster Local Foods Cooperative)",1,"Wooster","OH","http://localrootswooster.com/",".",,1,0,0,"cooperative",0,0,0,1,1,1,1,1,0,1,1,,1,1,1,0,1,0,0,0,0,1,0,0,0,0
"Fennimore Produce Auction",,"Fennimore","WI","N/A",".",,,,,".",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Definitely VBSC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Farmers markets, which operate once or twice per seek",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Food cooperatives, retail outlets, or auctions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Not enough information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Definitely not VBSC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
