Business N,VBSC,City,State,Business W,Business M,CSA,Food-Hub,Cooperativ,Online (De,Legal Stru,National,Regional,County,Produce,Dairy,Meat,Eggs,Seafood,Value-Adde,Preserves/,Health/Nut,Fresh,Local,Sustainabl,Fair,Community,Humane (An,AHSF,Education,Commerce/E,Affordabil,Transparen,Organic,Accessabil,addrtype,addrlocat,lon,lat
21 Acres Center for Local Food and Sustainable Living Food Hub,1,Woodinville,WA,http://www.21acres.org/farm-to-table/regional-food-hub-at-21-acres,"food hub, aggregation, distribution",0,1,0,0,non-profit,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,-122.15889,47.75458
Shepard's Grain,1,Spokane,WA,http://www.shepherdsgrain.com/,multi-farm direct-to-wholesale food business chains,0,1,0,0,.,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-117.42471,47.65886
Viva Farms,1,Mt. Vernon,WA,http://www.vivafarms.org/,.,0,1,0,0,.,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,-122.28064,48.4018
Growing Washington,1,Bellingham,WA,http://www.growingwashington.org/,.,1,0,0,0,.,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,-122.47886,48.7544
North Sound Food Hub,1,Mt. Vernon,WA,N/A,.,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,-122.32642,48.42005
Pudget Sound Food Hub,1,,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-120.21261,47.28684
Driftless Co-Option,1,Viroqua,WI,https://foodclub.org/driftless_cooption/login,.,0,1,1,1,.,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,-90.88874,43.55692
Auburndale Food Cooperative,1,Auburndale,WI,http://localfoodmarketplace.com/auburndale/Default.aspx,local grocery; food co-op; online CSA,1,0,1,1,cooperative,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,-90.01137,44.62582
Appleton Food Hub,1,Appleton,WI,https://appleton.localorbit.com/users/sign_in,online wholesaler marketplace,0,1,0,1,non-profit,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,-88.40676,44.26113
Good Earth Farms,1,Milladore,WI,http://www.goodearthfarms.com/,multi-farm direct-to-consumer business chains,0,0,0,1,LLC,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-89.85439,44.6037
Fifth Season Cooperative,1,Viroqua,WI,http://www.fifthseasoncoop.com,aggregator; wholesale distributor; farm-to-institution,0,1,1,0,"multi-stakeholder cooperative (producers, producer groups, processors, distributors, buyers and co-op workers)",0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,-90.88874,43.55692
Cooperative Regions of Organic Producer Pools (CROPP) aka Organic Valley and Organic Prairie,1,Westby,WI,https://www.farmers.coop/about-us/,value-added food production,0,1,1,0,cooperative,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,-90.8543,43.65692
Wisconsin Food Hub Cooperative,1,Madison,WI,http://wifoodhub.com,aggregator; wholesale distributor,0,1,1,0,"multi-stakeholder cooperative (producers, founders, organizational partners, and community supporters)",0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,-89.41079,42.6506
Bayfield Regional Food Producers Coop,1,Washburn,WI,http://bayfieldfoods.org,CSA; wholesaler; distributor; producers cooperative,1,0,1,0,member cooperative,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-91.79717,45.89263
Chequamegon Food Co-op,1,Ashland,WI,http://chequamegonfoodcoop.com/,.,0,0,1,0,food cooperative,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,-90.88392,46.59276
"Neesvig's, Inc",1,Windsor,WI,http://neesvigs.co/,.,0,1,0,0,.,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-89.34151,43.21833
Parrfection Produce,1,Albany,WI,http://parrfectionproduce.com/,.,0,1,0,0,.,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-89.43683,42.70797
Wisconsin Home Harvest,1,Reedsburg,WI,http://www.neuerthwormfarm.com/,.,1,0,0,0,.,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-90.00263,43.53248
Monroe Farm Market Cooperative,1,Union,WV,https://www.localfoodmarketplace.com/monroe/,.,0,0,1,1,.,0,0,1,0,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,-80.54341,37.59164
Fish Hawk Acres,1,Rock Cave,WV,http://www.wvfarm2u.org/On-the-Farm/Fish-Hawk-Acres.aspx,.,0,1,0,0,.,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,-80.34258,38.83677
High Plains Food Coop,1,Denver,CO,http://www.highplainsfood.org,retail exchange; aggregator; delivery,0,0,1,1,producer-consumer cooperative,,,,1,1,,0,1,0,1,,,1,1,1,,,,,,,,,,,,-104.9847,39.73915
Great Basin Community Food Cooperative/Distributors of Regional and Organic Produce and Products,1,Reno,NV,http://www.greatbasinfood.coop/,.,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,-119.81367,39.52927
Local Roots Market & Café (Wooster Local Foods Cooperative),1,Wooster,OH,http://localrootswooster.com/,.,,1,0,0,cooperative,0,0,0,1,1,1,1,1,0,1,1,,1,1,1,0,1,0,0,0,0,1,0,0,0,0,-81.93514,40.80506
Fennimore Produce Auction,,Fennimore,WI,N/A,.,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,-90.6556,42.98362
